Churn,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Transaction_Amount_Change_Q4_Q1,Transaction_Count_Change_Q4_Q1,Avg_Utilization_Ratio,Customer_Tenure_Years,Average_Transaction_Value,Available_Credit_Ratio,Revolving_Balance_Ratio,Contact_Frequency,Inactivity_Ratio
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,34,5,0.542,0.478,0.296,2.8333333333333335,40.85294117647059,0.7036070242050309,0.29639297579496915,0.16666666666666666,0.08333333333333333
Existing Customer,62,F,1,Post-Graduate,Married,Less than $40K,Blue,53,3,0.6990000000000001,0.409,0.0,4.416666666666667,29.096774193548388,1.0,0.0,0.25,0.08333333333333333
Existing Customer,33,F,0,Graduate,Married,Unknown,Blue,36,4,0.7490000000000001,0.722,0.612,3.0,44.74193548387097,0.3880597014925373,0.6119402985074627,0.3333333333333333,0.16666666666666666
Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,26,6,1.07,1.75,0.3339999999999999,2.1666666666666665,62.21212121212121,0.6663588085892403,0.33364119141075965,0.3333333333333333,0.08333333333333333
Existing Customer,46,M,3,Graduate,Unknown,$80K - $120K,Blue,27,5,0.495,0.618,0.471,2.25,34.2,0.529331514324693,0.47066848567530695,0.25,0.08333333333333333
Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,49,6,0.94,0.818,0.0,4.083333333333333,42.0,1.0,0.0,0.25,0.16666666666666666
Attrited Customer,41,F,2,Unknown,Single,Unknown,Blue,28,2,0.988,0.875,0.5710000000000001,2.3333333333333335,53.53333333333333,0.4293810927227386,0.5706189072772614,0.25,0.08333333333333333
Existing Customer,42,M,4,Graduate,Unknown,$40K - $60K,Silver,37,3,0.745,0.955,0.131,3.0833333333333335,36.325581395348834,0.8685653077940898,0.13143469220591014,0.16666666666666666,0.5
Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,0.3929999999999999,0.1669999999999999,0.0,2.25,37.476190476190474,1.0,0.0,0.25,0.16666666666666666
Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,5,1.371,0.733,0.352,3.0,40.34615384615385,0.6476675427069645,0.3523324572930355,0.25,0.16666666666666666
Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,0.233,0.286,0.0,2.25,38.55555555555556,1.0,0.0,0.16666666666666666,0.08333333333333333
Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,32,3,1.411,0.784,0.0,2.6666666666666665,47.45454545454545,1.0,0.0,0.25,0.16666666666666666
Existing Customer,51,M,1,Uneducated,Married,$80K - $120K,Blue,41,5,0.7809999999999999,0.613,0.143,3.4166666666666665,40.72,0.8566867683575736,0.1433132316424264,0.25,0.25
Existing Customer,54,F,1,Uneducated,Married,Less than $40K,Blue,40,5,1.585,1.043,0.525,3.3333333333333335,36.680851063829785,0.47474747474747475,0.5252525252525253,0.3333333333333333,0.16666666666666666
Existing Customer,40,F,3,College,Unknown,$40K - $60K,Blue,22,3,0.996,1.0,0.159,1.8333333333333333,60.03846153846154,0.8407213218938672,0.15927867810613283,0.25,0.25
Existing Customer,40,M,5,Graduate,Married,$80K - $120K,Blue,34,6,0.598,0.208,0.138,2.8333333333333335,37.41379310344828,0.8617484508457545,0.1382515491542455,0.3333333333333333,0.16666666666666666
Existing Customer,57,F,2,College,Married,Less than $40K,Blue,44,6,0.524,0.8,0.0,3.6666666666666665,36.370370370370374,1.0,0.0,0.16666666666666666,0.25
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,49,4,0.644,0.7,0.4639999999999999,4.083333333333333,51.8235294117647,0.5358788676761027,0.4641211323238973,0.3333333333333333,0.16666666666666666
Existing Customer,53,M,2,Uneducated,Married,$40K - $60K,Blue,47,3,0.503,1.136,0.255,3.9166666666666665,32.212765957446805,0.7449363685248253,0.25506363147517475,0.25,0.08333333333333333
Existing Customer,40,M,2,Graduate,Married,$80K - $120K,Blue,31,5,0.5,0.63,0.11,2.5833333333333335,34.45454545454545,0.8902262879152624,0.1097737120847376,0.16666666666666666,0.08333333333333333
Existing Customer,28,M,0,Graduate,Married,Less than $40K,Blue,18,5,1.271,0.897,0.608,1.5,47.10909090909091,0.39211688752973156,0.6078831124702684,0.25,0.08333333333333333
Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,28,4,0.922,0.696,0.775,2.3333333333333335,47.35897435897436,0.2246406570841889,0.7753593429158111,0.25,0.16666666666666666
Existing Customer,37,F,2,Graduate,Married,Less than $40K,Blue,30,5,1.5530000000000002,1.25,0.67,2.5,45.25,0.32980259990370725,0.6701974000962927,0.16666666666666666,0.16666666666666666
Existing Customer,65,F,1,High School,Married,Unknown,Blue,36,5,1.046,0.63,0.0,3.0,48.72727272727273,1.0,0.0,0.16666666666666666,0.16666666666666666
Attrited Customer,58,F,4,High School,Divorced,Unknown,Blue,45,4,0.84,0.3329999999999999,0.119,3.75,33.125,0.8805126987894611,0.11948730121053881,0.08333333333333333,0.08333333333333333
Existing Customer,41,M,2,High School,Married,$60K - $80K,Blue,30,6,0.5870000000000001,0.593,0.187,2.5,33.883720930232556,0.8127916843445058,0.18720831565549428,0.16666666666666666,0.25
Existing Customer,54,M,5,Graduate,Married,$80K - $120K,Blue,47,4,0.417,0.688,0.285,3.9166666666666665,41.25925925925926,0.7150865622423743,0.28491343775762573,0.25,0.08333333333333333
Existing Customer,39,F,4,Graduate,Married,Unknown,Blue,21,6,0.758,0.667,0.321,1.75,48.125,0.6789410828025477,0.3210589171974522,0.3333333333333333,0.08333333333333333
Existing Customer,26,M,1,Graduate,Single,Less than $40K,Blue,13,3,0.607,0.294,0.696,1.0833333333333333,57.04545454545455,0.30358785648574055,0.6964121435142594,0.16666666666666666,0.25
Existing Customer,60,M,1,Unknown,Married,$60K - $80K,Blue,54,5,0.7140000000000001,0.409,0.6890000000000001,4.5,37.70967741935484,0.31106533254855795,0.688934667451442,0.25,0.25
Existing Customer,35,F,2,High School,Married,Unknown,Blue,36,3,0.594,0.424,0.266,3.0,39.40425531914894,0.7335031257235471,0.26649687427645286,0.3333333333333333,0.16666666666666666
Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,40,6,0.637,0.545,0.624,3.3333333333333335,36.970588235294116,0.37598693166349034,0.6240130683365097,0.25,0.25
Existing Customer,47,M,4,Unknown,Unknown,$60K - $80K,Blue,39,5,1.124,0.718,0.408,3.25,28.82089552238806,0.5922865013774105,0.40771349862258954,0.16666666666666666,0.16666666666666666
Existing Customer,53,F,3,High School,Married,Unknown,Blue,45,5,0.623,0.476,0.5429999999999999,3.75,42.29032258064516,0.457314629258517,0.5426853707414829,0.25,0.08333333333333333
Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,0.912,0.737,0.061,3.0,48.84848484848485,0.9391007069185305,0.06089929308146946,0.3333333333333333,0.16666666666666666
Existing Customer,50,F,1,Post-Graduate,Married,Less than $40K,Blue,43,3,0.838,0.6859999999999999,0.251,3.5833333333333335,34.271186440677965,0.7494061757719715,0.2505938242280285,0.25,0.08333333333333333
Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28,3,0.419,0.231,0.0,2.3333333333333335,46.125,1.0,0.0,0.16666666666666666,0.16666666666666666
Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,30,5,1.108,0.778,0.157,2.5,32.458333333333336,0.8433294886582083,0.1566705113417916,0.3333333333333333,0.25
Existing Customer,39,F,2,Unknown,Single,Less than $40K,Blue,29,6,0.5870000000000001,0.682,0.439,2.4166666666666665,45.13513513513514,0.5605824232969319,0.43941757670306814,0.3333333333333333,0.16666666666666666
Existing Customer,39,M,3,High School,Single,$60K - $80K,Blue,36,4,0.534,0.929,0.244,3.0,51.407407407407405,0.7559532400057728,0.24404675999422717,0.25,0.16666666666666666
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,44,3,1.05,1.375,0.345,3.6666666666666665,36.63157894736842,0.6546746104491292,0.3453253895508708,0.16666666666666666,0.25
Existing Customer,45,F,3,Graduate,Married,Less than $40K,Blue,38,3,0.629,0.417,0.672,3.1666666666666665,38.55882352941177,0.3279166666666667,0.6720833333333334,0.16666666666666666,0.25
Existing Customer,55,M,3,Graduate,Married,$80K - $120K,Blue,36,3,0.4379999999999999,0.862,0.067,3.0,32.907407407407405,0.9330319190045598,0.06696808099544015,0.25,0.16666666666666666
Existing Customer,44,M,5,Graduate,Married,$120K +,Blue,24,4,0.51,0.737,0.162,2.0,41.42424242424242,0.8378241832266756,0.16217581677332435,0.3333333333333333,0.08333333333333333
Existing Customer,49,F,5,Post-Graduate,Unknown,$40K - $60K,Blue,39,3,0.979,0.688,0.0,3.25,53.0,1.0,0.0,0.3333333333333333,0.08333333333333333
Existing Customer,41,M,3,Uneducated,Married,$80K - $120K,Blue,31,4,0.472,0.5329999999999999,0.284,2.5833333333333335,61.130434782608695,0.7156118143459915,0.2843881856540084,0.16666666666666666,0.16666666666666666
Existing Customer,49,F,2,Unknown,Unknown,$40K - $60K,Blue,42,6,0.7909999999999999,0.684,0.302,3.5,56.203125,0.6979187714689836,0.3020812285310164,0.3333333333333333,0.08333333333333333
Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,36,3,2.041,1.231,0.225,3.0,51.01724137931034,0.7750469210832067,0.22495307891679328,0.3333333333333333,0.25
Existing Customer,44,M,4,Unknown,Married,$120K +,Blue,31,4,0.669,1.15,0.035,2.5833333333333335,37.06976744186046,0.9653204311044153,0.034679568895584656,0.3333333333333333,0.25
Existing Customer,65,M,2,Graduate,Married,Unknown,Blue,55,3,0.5820000000000001,0.545,0.357,4.583333333333333,38.794117647058826,0.6433841613379242,0.35661583866207575,0.16666666666666666,0.16666666666666666
Attrited Customer,35,M,3,College,Married,$80K - $120K,Blue,27,3,0.384,1.5,0.527,2.25,57.4,0.473006993006993,0.526993006993007,0.25,0.16666666666666666
Existing Customer,26,M,0,High School,Single,Unknown,Blue,36,5,0.7120000000000001,0.439,0.446,3.0,38.186440677966104,0.5537060301507538,0.44629396984924624,0.25,0.16666666666666666
Existing Customer,38,M,1,High School,Married,$80K - $120K,Blue,24,4,0.688,0.435,0.092,2.0,55.0,0.9079548005687346,0.09204519943126543,0.16666666666666666,0.25
Existing Customer,65,M,0,Unknown,Single,$40K - $60K,Blue,36,5,1.127,0.8390000000000001,0.431,3.0,39.10526315789474,0.5691169671752196,0.4308830328247804,0.25,0.16666666666666666
Existing Customer,58,M,3,College,Married,$120K +,Blue,54,5,0.768,0.4,0.605,4.5,48.0,0.3951332560834299,0.6048667439165701,0.3333333333333333,0.08333333333333333
Existing Customer,47,F,5,Post-Graduate,Married,$40K - $60K,Blue,41,6,1.02,0.595,0.174,3.4166666666666665,29.779661016949152,0.8260188087774295,0.17398119122257052,0.16666666666666666,0.16666666666666666
Existing Customer,33,F,3,Graduate,Married,Less than $40K,Blue,25,4,0.785,0.467,0.831,2.0833333333333335,41.02272727272727,0.16930693069306932,0.8306930693069307,0.3333333333333333,0.08333333333333333
Existing Customer,54,F,3,Doctorate,Married,$40K - $60K,Blue,39,3,1.204,2.222,0.755,3.25,46.13793103448276,0.24526515151515152,0.7547348484848485,0.25,0.08333333333333333
Existing Customer,35,F,1,Graduate,Married,Less than $40K,Blue,18,5,1.4680000000000002,1.208,0.214,1.5,42.056603773584904,0.7864961097191085,0.21350389028089148,0.16666666666666666,0.08333333333333333
Existing Customer,47,M,5,Graduate,Single,$120K +,Blue,27,5,0.616,0.96,0.196,2.25,30.571428571428573,0.8039115646258503,0.19608843537414966,0.3333333333333333,0.25
Existing Customer,35,M,3,College,Married,$60K - $80K,Blue,17,3,1.2919999999999998,0.8240000000000001,0.7859999999999999,1.4166666666666667,57.74193548387097,0.21381142098273573,0.7861885790172642,0.16666666666666666,0.25
Existing Customer,48,M,4,High School,Married,$80K - $120K,Blue,36,6,0.85,0.595,0.026,3.0,41.6865671641791,0.9743447019532436,0.0256552980467564,0.3333333333333333,0.16666666666666666
Existing Customer,36,M,4,Doctorate,Married,$60K - $80K,Blue,17,5,0.614,0.524,0.659,1.4166666666666667,30.75,0.34070638601498393,0.6592936139850161,0.3333333333333333,0.16666666666666666
Existing Customer,44,M,3,Graduate,Married,$80K - $120K,Blue,36,3,0.69,0.867,0.0289999999999999,3.0,48.666666666666664,0.9705446894724539,0.02945531052754617,0.16666666666666666,0.25
Existing Customer,44,F,3,College,Single,Less than $40K,Blue,24,5,0.521,0.632,0.179,2.0,40.774193548387096,0.8205872862213617,0.17941271377863827,0.3333333333333333,0.08333333333333333
Existing Customer,36,F,1,Graduate,Married,Less than $40K,Blue,25,5,0.962,0.6,0.416,2.0833333333333335,50.425,0.5841947315771924,0.41580526842280763,0.16666666666666666,0.08333333333333333
Existing Customer,64,M,0,Doctorate,Married,$40K - $60K,Blue,56,3,0.585,0.355,0.447,4.666666666666667,34.26190476190476,0.552905054322154,0.447094945677846,0.16666666666666666,0.16666666666666666
Existing Customer,34,F,1,Graduate,Single,Less than $40K,Gold,28,4,1.494,0.8059999999999999,0.0,2.3333333333333335,35.8,1.0,0.0,0.16666666666666666,0.25
Existing Customer,49,M,4,Graduate,Single,$80K - $120K,Blue,33,5,0.6759999999999999,0.514,0.0,2.75,30.732142857142858,1.0,0.0,0.25,0.4166666666666667
Existing Customer,37,M,4,High School,Married,$60K - $80K,Blue,24,3,0.879,0.433,0.402,2.0,43.906976744186046,0.5979381443298969,0.4020618556701031,0.3333333333333333,0.08333333333333333
Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,53,3,0.574,0.649,0.4579999999999999,4.416666666666667,32.01639344262295,0.54249857387336,0.45750142612664,0.25,0.25
Existing Customer,53,M,2,Post-Graduate,Married,$80K - $120K,Blue,36,5,0.821,0.481,0.451,3.0,41.3,0.5487534626038781,0.45124653739612186,0.16666666666666666,0.08333333333333333
Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,28,5,0.6629999999999999,0.636,0.648,2.3333333333333335,53.861111111111114,0.3521437578814628,0.6478562421185372,0.16666666666666666,0.08333333333333333
Existing Customer,44,M,5,Unknown,Single,$80K - $120K,Blue,34,6,0.87,0.72,0.093,2.8333333333333335,39.883720930232556,0.9070192542042408,0.0929807457957592,0.25,0.16666666666666666
Existing Customer,65,M,0,Graduate,Married,Less than $40K,Blue,46,3,0.905,0.514,0.62,3.8333333333333335,44.75471698113208,0.3795529801324503,0.6204470198675497,0.16666666666666666,0.16666666666666666
Existing Customer,60,M,0,Graduate,Married,$40K - $60K,Blue,41,3,0.759,0.579,0.765,3.4166666666666665,41.266666666666666,0.23515052888527258,0.7648494711147275,0.3333333333333333,0.16666666666666666
Existing Customer,27,F,0,Graduate,Single,Less than $40K,Blue,36,6,0.994,0.536,0.953,3.0,55.55813953488372,0.04710793082886106,0.9528920691711389,0.16666666666666666,0.08333333333333333
Existing Customer,52,M,2,Post-Graduate,Married,$60K - $80K,Blue,45,4,0.773,0.484,0.079,3.75,52.84782608695652,0.9213977493865809,0.07860225061341906,0.3333333333333333,0.08333333333333333
Existing Customer,42,M,4,High School,Unknown,$80K - $120K,Gold,37,5,1.314,0.875,0.052,3.0833333333333335,51.13333333333333,0.9479371885502376,0.05206281144976243,0.16666666666666666,0.08333333333333333
Existing Customer,29,M,0,Graduate,Married,$40K - $60K,Blue,36,3,1.164,1.08,0.4039999999999999,3.0,42.86538461538461,0.5956134338588074,0.4043865661411926,0.3333333333333333,0.25
Existing Customer,29,M,0,High School,Married,$40K - $60K,Blue,13,4,1.5830000000000002,0.931,0.46,1.0833333333333333,43.732142857142854,0.5397805212620027,0.46021947873799723,0.3333333333333333,0.08333333333333333
Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,32,3,0.846,0.56,0.0,2.6666666666666665,51.256410256410255,1.0,0.0,0.16666666666666666,0.16666666666666666
Attrited Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,18,3,0.365,0.643,0.181,1.5,24.73913043478261,0.8185099252384636,0.18149007476153647,0.25,0.08333333333333333
Existing Customer,40,F,2,Post-Graduate,Married,Less than $40K,Silver,30,4,0.563,0.8240000000000001,0.178,2.5,41.70967741935484,0.8217054263565892,0.17829457364341086,0.16666666666666666,0.16666666666666666
Existing Customer,47,M,3,Post-Graduate,Single,$60K - $80K,Blue,36,5,0.591,0.429,0.3939999999999999,3.0,32.85,0.6056894508099565,0.39431054919004344,0.25,0.25
Existing Customer,36,F,3,High School,Married,Unknown,Blue,30,6,0.795,1.0,0.639,2.5,46.205882352941174,0.3606943218593704,0.6393056781406296,0.16666666666666666,0.16666666666666666
Existing Customer,26,M,0,High School,Single,$40K - $60K,Blue,36,5,0.777,0.545,0.755,3.0,49.411764705882355,0.24502712477396021,0.7549728752260397,0.16666666666666666,0.16666666666666666
Existing Customer,43,F,2,Unknown,Single,$40K - $60K,Blue,36,6,0.58,0.233,0.775,3.0,41.37837837837838,0.22473320778405526,0.7752667922159447,0.3333333333333333,0.08333333333333333
Existing Customer,52,F,1,Graduate,Single,Less than $40K,Blue,32,3,0.544,0.643,0.391,2.6666666666666665,33.869565217391305,0.608570946515944,0.391429053484056,0.25,0.08333333333333333
Existing Customer,49,M,2,Unknown,Single,$60K - $80K,Blue,34,4,0.838,0.931,0.0,2.8333333333333335,33.964285714285715,1.0,0.0,0.3333333333333333,0.08333333333333333
Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Blue,37,3,0.8240000000000001,0.4639999999999999,0.0,3.0833333333333335,33.853658536585364,1.0,0.0,0.25,0.08333333333333333
Existing Customer,34,M,3,Graduate,Divorced,$80K - $120K,Blue,21,6,0.883,0.6,0.0,1.75,40.285714285714285,1.0,0.0,0.16666666666666666,0.3333333333333333
Existing Customer,53,F,2,Uneducated,Married,Unknown,Blue,36,4,0.547,0.615,0.736,3.0,41.333333333333336,0.26364477335800185,0.7363552266419982,0.25,0.25
Existing Customer,49,M,3,High School,Married,$80K - $120K,Blue,42,4,0.6729999999999999,0.815,0.178,3.5,34.38775510204081,0.8222550467749877,0.1777449532250123,0.16666666666666666,0.08333333333333333
Existing Customer,53,M,4,High School,Married,$80K - $120K,Blue,46,4,0.496,0.5,0.077,3.8333333333333335,32.91228070175438,0.9232384201548354,0.07676157984516467,0.25,0.16666666666666666
Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,0.6970000000000001,0.846,0.073,3.0,35.395833333333336,0.9270772974852243,0.07292270251477576,0.16666666666666666,0.25
Existing Customer,32,F,2,Graduate,Single,Less than $40K,Blue,17,5,1.132,0.971,0.8540000000000001,1.4166666666666667,38.507462686567166,0.1462142807481054,0.8537857192518946,0.16666666666666666,0.08333333333333333
Existing Customer,38,M,4,High School,Single,$80K - $120K,Gold,36,6,0.815,0.957,0.033,3.0,32.111111111111114,0.9669718391470622,0.03302816085293777,0.25,0.08333333333333333
Existing Customer,43,M,4,Uneducated,Single,$80K - $120K,Blue,32,4,0.7,0.75,0.127,2.6666666666666665,49.785714285714285,0.8730910677554073,0.12690893224459265,0.25,0.08333333333333333
Attrited Customer,51,F,2,Graduate,Single,Less than $40K,Blue,44,6,0.595,0.455,0.7909999999999999,3.6666666666666665,51.125,0.20873939012889028,0.7912606098711097,0.16666666666666666,0.25
Existing Customer,58,M,3,Graduate,Married,$120K +,Blue,47,3,0.581,0.846,0.0,3.9166666666666665,47.291666666666664,1.0,0.0,0.16666666666666666,0.08333333333333333
Existing Customer,59,F,0,Graduate,Married,Less than $40K,Blue,36,5,1.099,1.038,0.161,3.0,34.41509433962264,0.8393108298171589,0.16068917018284107,0.3333333333333333,0.25
Existing Customer,51,M,4,High School,Married,$60K - $80K,Blue,38,5,0.736,0.55,0.174,3.1666666666666665,40.87096774193548,0.8256547505257121,0.1743452494742879,0.25,0.16666666666666666
Attrited Customer,62,F,1,High School,Married,$40K - $60K,Blue,53,2,0.758,0.722,0.0,4.416666666666667,42.41935483870968,1.0,0.0,0.08333333333333333,0.08333333333333333
Existing Customer,38,M,0,Unknown,Divorced,Less than $40K,Blue,36,3,0.588,0.48,0.133,3.0,42.027027027027025,0.8673132880698351,0.1326867119301649,0.16666666666666666,0.25
Existing Customer,33,M,1,Uneducated,Married,$120K +,Blue,16,6,1.171,0.812,0.126,1.3333333333333333,41.96551724137931,0.8737038766931341,0.12629612330686596,0.25,0.08333333333333333
Existing Customer,54,M,3,High School,Single,$80K - $120K,Blue,47,3,0.759,0.385,0.0819999999999999,3.9166666666666665,36.166666666666664,0.9182733115072147,0.08172668849278525,0.16666666666666666,0.08333333333333333
Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,30,5,1.018,0.667,0.363,2.5,34.34,0.6365744319060133,0.3634255680939867,0.3333333333333333,0.25
Existing Customer,30,M,0,Unknown,Married,$60K - $80K,Blue,23,3,0.879,0.667,0.345,1.9166666666666667,33.53333333333333,0.6554605518849592,0.34453944811504084,0.16666666666666666,0.25
Existing Customer,61,M,0,High School,Married,$80K - $120K,Blue,50,4,0.5489999999999999,0.481,0.8740000000000001,4.166666666666667,35.825,0.12571428571428572,0.8742857142857143,0.25,0.08333333333333333
Existing Customer,49,M,5,Unknown,Single,$60K - $80K,Blue,36,6,0.787,0.609,0.297,3.0,49.351351351351354,0.7030432254312852,0.2969567745687149,0.16666666666666666,0.08333333333333333
Existing Customer,56,M,1,Doctorate,Married,$60K - $80K,Blue,46,5,0.696,0.731,0.346,3.8333333333333335,51.22222222222222,0.6539634146341463,0.34603658536585363,0.3333333333333333,0.16666666666666666
Existing Customer,51,F,3,Post-Graduate,Married,Less than $40K,Blue,46,5,0.659,0.8059999999999999,0.341,3.8333333333333335,34.482142857142854,0.659071586464887,0.34092841353511305,0.16666666666666666,0.25
Existing Customer,44,F,3,Graduate,Divorced,Less than $40K,Blue,36,6,0.6920000000000001,0.5,0.611,3.0,32.05555555555556,0.3892297205180641,0.610770279481936,0.25,0.25
Existing Customer,64,F,1,Uneducated,Married,$40K - $60K,Blue,52,6,0.716,0.5,0.46,4.333333333333333,33.354166666666664,0.5401080216043208,0.45989197839567914,0.16666666666666666,0.16666666666666666
Existing Customer,46,F,3,High School,Married,Unknown,Blue,36,5,0.89,1.474,0.0,3.0,34.297872340425535,1.0,0.0,0.16666666666666666,0.16666666666666666
Existing Customer,39,F,2,Post-Graduate,Unknown,Less than $40K,Blue,36,4,0.7,0.867,0.0,3.0,47.785714285714285,1.0,0.0,0.3333333333333333,0.25
Existing Customer,38,F,1,Uneducated,Single,Less than $40K,Blue,27,6,0.489,0.381,0.0,2.25,44.6551724137931,1.0,0.0,0.3333333333333333,0.25
Existing Customer,53,M,1,Uneducated,Married,$120K +,Blue,45,5,0.7120000000000001,0.722,0.138,3.75,44.67741935483871,0.8623568446965643,0.13764315530343574,0.25,0.08333333333333333
Existing Customer,35,M,2,Post-Graduate,Married,$40K - $60K,Blue,21,3,0.879,0.435,0.344,1.75,53.0,0.6564716312056738,0.34352836879432624,0.25,0.08333333333333333
Existing Customer,26,M,0,College,Single,$60K - $80K,Blue,15,5,0.633,0.48,0.208,1.25,51.810810810810814,0.7919438732309181,0.2080561267690819,0.16666666666666666,0.08333333333333333
Existing Customer,32,M,2,High School,Single,$40K - $60K,Blue,20,6,0.912,0.8059999999999999,0.733,1.6666666666666667,51.875,0.26711409395973157,0.7328859060402685,0.3333333333333333,0.25
Existing Customer,36,M,1,Uneducated,Married,$40K - $60K,Blue,16,5,0.79,0.655,0.5429999999999999,1.3333333333333333,34.833333333333336,0.4572958500669344,0.5427041499330656,0.16666666666666666,0.25
Attrited Customer,48,M,2,College,Married,$80K - $120K,Blue,38,2,0.531,0.133,0.0,3.1666666666666665,45.470588235294116,1.0,0.0,0.25,0.16666666666666666
Existing Customer,55,M,2,Unknown,Single,$80K - $120K,Blue,36,5,0.644,0.579,0.187,3.0,52.6,0.8125235760090532,0.1874764239909468,0.16666666666666666,0.16666666666666666
Existing Customer,52,M,2,Graduate,Married,$80K - $120K,Blue,42,5,0.654,0.591,0.046,3.5,43.91428571428571,0.9538150766688092,0.04618492333119089,0.16666666666666666,0.25
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,36,6,0.831,0.682,0.6890000000000001,3.0,38.54054054054054,0.31129864041256444,0.6887013595874355,0.25,0.25
Existing Customer,58,F,1,Doctorate,Single,$40K - $60K,Silver,47,5,0.885,0.609,0.095,3.9166666666666665,38.108108108108105,0.9046591113509624,0.0953408886490376,0.3333333333333333,0.16666666666666666
Existing Customer,38,F,2,Graduate,Married,Less than $40K,Blue,36,6,1.596,1.062,0.586,3.0,62.54545454545455,0.4144276775855723,0.5855723224144277,0.3333333333333333,0.25
Existing Customer,60,M,1,Graduate,Single,Less than $40K,Blue,48,5,0.72,0.608,0.2339999999999999,4.0,54.25609756097561,0.7663316582914573,0.23366834170854273,0.25,0.25
Attrited Customer,55,M,3,Unknown,Single,$60K - $80K,Blue,36,3,1.029,0.375,0.1159999999999999,3.0,45.0,0.8836048032338604,0.11639519676613957,0.16666666666666666,0.16666666666666666
Existing Customer,43,F,3,College,Married,Less than $40K,Blue,36,3,1.481,0.8640000000000001,0.626,3.0,48.09756097560975,0.37404580152671757,0.6259541984732825,0.3333333333333333,0.16666666666666666
Existing Customer,35,M,3,Post-Graduate,Single,$80K - $120K,Silver,29,5,1.068,1.103,0.054,2.4166666666666665,36.50819672131148,0.9457642832309654,0.05423571676903465,0.16666666666666666,0.25
Existing Customer,38,F,4,Graduate,Married,Less than $40K,Blue,36,4,0.992,0.611,0.0,3.0,59.689655172413794,1.0,0.0,0.25,0.25
Existing Customer,48,M,3,Graduate,Unknown,$60K - $80K,Blue,35,5,0.991,1.05,0.828,2.9166666666666665,38.073170731707314,0.17214563449982326,0.8278543655001768,0.25,0.08333333333333333
Existing Customer,38,F,1,Unknown,Single,Less than $40K,Blue,36,3,0.583,0.357,0.0,3.0,27.57894736842105,1.0,0.0,0.25,0.16666666666666666
Existing Customer,43,M,3,College,Single,$40K - $60K,Blue,23,6,0.871,0.609,0.365,1.9166666666666667,44.648648648648646,0.6350076771221759,0.36499232287782407,0.16666666666666666,0.16666666666666666
Existing Customer,36,F,2,Post-Graduate,Married,Less than $40K,Blue,25,5,0.805,0.455,0.317,2.0833333333333335,52.46875,0.6826207189959583,0.31737928100404167,0.3333333333333333,0.25
Existing Customer,34,M,2,College,Married,$80K - $120K,Blue,22,4,1.893,1.111,0.0,1.8333333333333333,51.96491228070175,1.0,0.0,0.3333333333333333,0.16666666666666666
Existing Customer,39,F,2,Unknown,Married,Unknown,Blue,36,4,0.789,0.7829999999999999,0.182,3.0,43.75609756097561,0.8179347826086957,0.18206521739130435,0.3333333333333333,0.25
Existing Customer,43,F,2,College,Single,Less than $40K,Blue,29,5,0.872,0.895,0.69,2.4166666666666665,35.361111111111114,0.3103298611111111,0.6896701388888888,0.16666666666666666,0.08333333333333333
Existing Customer,48,F,2,Uneducated,Married,$40K - $60K,Blue,36,3,0.531,0.607,0.0,3.0,29.08888888888889,1.0,0.0,0.16666666666666666,0.25
Existing Customer,44,M,4,Graduate,Married,$40K - $60K,Blue,38,5,0.813,0.5,0.384,3.1666666666666665,44.9,0.6164710198092443,0.3835289801907557,0.25,0.16666666666666666
Existing Customer,38,M,1,Graduate,Married,$60K - $80K,Blue,31,6,0.775,0.429,0.1969999999999999,2.5833333333333335,53.06666666666667,0.802943143812709,0.19705685618729096,0.25,0.25
Existing Customer,62,M,1,High School,Married,$40K - $60K,Blue,56,5,1.043,0.613,0.526,4.666666666666667,40.42,0.473505722763883,0.526494277236117,0.25,0.25
